id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,Gender,Location
3448,1,1,10.56,0,,0,0,0,0,F,California
3455,1,1,11.93,48,1.01,1,113.2,7.6,0,F,California
3473,0,0,5.53,0,,0,0,0,0,F,California
3475,0,0,5.61,0,,0,0,0,0,F,California
3476,1,0,8.95,42,0,0,37.6,5.6,0,F,California
3477,0,0,5.69,13,,0,0,0,0,F,California
3488,1,0,11.93,22,1.06,0,11.4,0.5,0,F,California
3521,0,0,5.94,0,,0,0,0,0,F,California
3531,0,0,5.47,0,,0,0,0,0,F,California
3547,0,0,7.73,0,,0,0,0,0,F,California
3634,0,0,5.69,0,,0,0,0,0,F,California
3649,0,0,6.07,0,,0,0,0,0,F,California
3707,0,0,7.47,0,,0,0,0,0,F,California
3714,0,0,7.36,0,,0,0,0,0,F,California
3733,0,0,8.32,0,,0,0,0,0,F,California
3793,0,0,5.43,18,0,0,0,0,0,F,California
3861,0,0,6.46,0,,0,0,0,0,F,California
3926,1,1,11.06,22,0,0,7.1,0.8,0,F,California
3964,1,0,8.49,0,,0,0,0,0,F,California
4024,0,0,9.28,0,,0,0,0,0,F,California
4032,0,0,6.45,14,,0,0,0,0,F,California
4045,0,0,6.41,21,0,0,0,0,0,F,California
4082,1,0,11.02,0,,0,0,0,0,F,California
4158,0,0,5.94,0,,0,0,0,0,F,California
4259,1,1,8.78,20,,0,3,0.5,0,F,California
4263,0,0,12.61,0,,0,0,0,0,F,California
4271,1,1,12.44,21,,0,4.8,0.1,0,F,California
4297,1,0,8.05,0,,0,0,0,0,F,California
4347,0,0,5.69,0,,0,0,0,0,F,California
4389,1,1,11.93,19,1.88,0,52.4,2.2,0,F,California
4424,0,0,5.61,0,,0,0,0,0,F,California
4434,0,0,5.25,13,,0,0,0,0,F,California
4448,1,0,7.65,0,,1,19.3,5.2,0,F,California
4479,0,0,9.56,0,,0,0,0,0,F,California
4518,0,0,5.98,0,,0,0,0,0,F,California
4521,0,0,6.27,0,,0,0,0,0,F,California
4522,0,0,10.06,0,,0,0,0,0,F,California
4526,1,1,12.19,0,,0,0,0,0,M,Chicago
4537,0,0,5.61,0,,0,0,0,0,M,Chicago
4544,0,0,7.45,0,,0,0,0,0,F,Chicago
4556,0,0,9.99,0,,0,0,0,0,F,Chicago
4579,0,0,7.08,0,,0,0,0,0,F,Chicago
4612,0,0,9.57,0,,0,0,0,0,F,Chicago
4645,0,0,5.37,0,,0,0,0,0,F,Chicago
4667,0,0,7.08,0,,0,0,0,0,F,Chicago
4672,0,0,11.93,24,,4,3.9,0.4,0,F,Chicago
4674,0,0,7.32,20,,0,14.2,0.6,0,F,Chicago
4692,0,0,8.36,0,,0,0,0,0,F,Chicago
4700,1,1,6.28,24,,2,0,0,0,F,Chicago
4711,0,0,5.12,0,,0,0,0,0,F,Chicago
4781,1,1,11.92,10,1.26,0,23.6,1.7,0,F,Chicago
4782,1,0,5.98,21,,0,0,0,0,F,Chicago
4785,1,1,11.92,32,0.99,0,0,0,0,F,Chicago
4819,0,0,5.42,13,,0,0,0,0,F,Chicago
4828,0,0,7.87,0,,0,0,0,0,F,Chicago
4843,1,1,7.17,22,,0,2.9,0.3,0,F,Chicago
4877,0,0,9.55,0,,0,0,0,0,F,Chicago
4897,0,0,6.05,14,,0,0,0,0,F,Chicago
4941,0,0,10.19,0,,0,0,0,0,F,Chicago
4950,0,0,5.63,14,,0,0,0,0,F,Chicago
4967,1,0,7.77,0,,0,0,0,0,F,Chicago
4973,0,0,9.55,18,,0,0,0,0,M,New York
4985,1,0,6.14,12,,1,0,0,0,M,New York
5000,1,1,12.12,20,,0,0.3,0.7,0,M,New York
5110,0,0,5.85,14,,0,0,0,0,M,California
5182,0,0,7.35,12,,0,0,0,0,M,California
5188,1,1,11.92,33,,0,,,0,M,California
5194,1,1,6.55,14,,1,0,0,0,M,California
5198,1,1,8.85,0,,0,0,0,0,M,California
5225,1,1,11.92,24,,0,37,5.8,0,M,California
5248,0,0,5.12,0,,0,0,0,0,M,California
5292,1,1,6.03,0,,0,0,0,0,M,California
5308,1,0,11.92,31,,0,0.3,0,0,M,California
5325,1,1,11.92,24,,0,0.1,0,0,M,California
5338,1,1,11.92,24,1.01,0,36.7,1.9,0,M,New Jersey
5347,0,0,5.56,0,,0,0,0,0,M,New Jersey
5355,1,1,10.47,7,,0,0,0,0,M,New Jersey
5422,1,1,11.92,16,1.79,0,34.2,2.3,0,F,New York
5442,0,0,11.92,24,,0,,,0,F,New York
5449,0,0,6.95,1,,0,0,0,0,F,New York
5472,0,0,9.72,8,,1,6.5,0.6,0,F,New York
5510,0,0,12.34,22,,0,0,0,0,F,New York
5516,1,0,11.17,33,,0,0,0,0,M,Chicago
5636,0,0,8.55,14,0,0,14.4,0.8,3,M,Chicago
5660,1,0,8.82,21,,0,3.3,0.3,0,M,Chicago
5680,1,0,6.18,14,,0,0,0,0,M,Chicago
5684,1,0,8.98,24,,1,27.1,9.4,0,M,Chicago
5694,1,0,11.92,24,,0,,,0,M,Chicago
5721,1,0,11.92,21,0.33,0,31.4,5,0,M,Chicago
5746,1,1,10.09,59,,2,27.1,23.9,0,M,Chicago
5754,0,0,6.08,14,,0,0,0,0,M,Chicago
5767,1,0,6.37,14,,0,0,0,0,M,Chicago
5780,0,0,7.58,13,,0,1.6,0.2,0,M,Chicago
5786,1,0,11.92,19,1.78,1,30.3,1.3,0,M,Chicago
5793,0,0,9.42,32,,0,23.2,5.3,0,M,Chicago
5872,1,0,11.92,21,1.93,1,125.2,6.6,0,M,Chicago
5896,0,0,11.92,59,,0,,,0,M,Chicago
5960,0,0,6.55,20,,2,0,0,0,M,Chicago
5969,1,0,11.89,0,,0,0,0,0,M,Chicago
6003,0,0,7.41,21,,1,2.4,0.9,0,M,Chicago
6009,0,0,5.28,0,,0,0,0,0,M,Chicago
6016,1,0,7.05,23,,3,0,0,0,M,Chicago
6034,0,0,8.32,12,0,0,4.9,0.6,0,M,Chicago
6115,0,0,6.19,53,,2,0,0,0,M,Chicago
6147,1,0,7.32,21,,0,2.9,0.1,0,M,Chicago
6149,1,0,11.92,22,1.16,0,19.5,2,0,M,California
6171,1,1,12.76,10,0.57,0,22.3,4.4,0,M,California
6191,0,0,7.47,24,0,0,7.5,1.5,0,M,California
6192,1,0,8.52,19,,0,0,0,0,M,California
6194,1,1,11.92,17,1.95,0,7.3,0.8,0,M,California
6202,0,0,5.37,15,1.86,0,0,0,0,M,California
6219,0,0,7.04,0,,0,0,0,7,M,California
6222,1,0,6.84,0,,0,0,0,0,M,California
6223,1,1,11.92,29,0.23,0,16.1,1,0,M,California
6231,1,1,11.92,20,0.37,0,134.6,7.3,0,M,California
6270,0,0,5.73,13,,0,0,0,0,M,California
6277,0,0,10.36,18,,0,0,0,0,M,California
6283,1,1,11.92,22,1.96,0,62.2,5.1,0,M,California
6303,0,0,7.25,13,,0,0,0,0,F,Chicago
6330,0,0,8.69,162,,0,0,0,0,F,Chicago
6347,0,0,11.92,66,0.01,0,370.4,14.8,0,F,Chicago
6372,1,0,9.45,26,0,0,11,2.6,0,F,Chicago
6390,1,0,11.92,25,0.21,0,1.9,0.1,0,F,Chicago
6424,0,0,5.55,14,,0,0,0,0,F,Chicago
6492,1,0,11.42,22,0,0,15.5,1.2,0,F,Chicago
6505,0,0,5.6,0,,0,0,0,0,F,Chicago
6517,1,0,9.03,20,,0,2.1,0.4,0,F,New York
6518,1,0,7.39,13,,0,12.7,0.6,0,F,New York
6556,1,0,8.55,20,0,2,30.8,2.6,0,F,New York
6558,1,0,6.48,35,,0,0,0,0,F,New York
6572,0,0,5.44,14,,1,0,0,0,F,New York
6597,0,0,5.25,13,,0,0,0,0,F,New York
6614,0,0,5.85,22,,0,0,0,0,F,New York
6617,1,1,11.13,17,0,1,2.5,0.1,0,F,New York
6640,1,0,11.92,22,0.07,0,64.1,7.1,0,F,New York
6689,1,0,11.74,24,,0,60.2,3.3,0,F,New York
6691,0,0,5.77,14,,0,0,0,0,F,New York
6727,0,0,5.6,0,,0,0,0,0,F,New York
6777,1,1,10.8,21,0,0,8,1.3,0,F,New York
6787,1,0,9.95,32,,0,5.6,0.3,0,F,New York
6846,1,1,11.92,71,1.16,0,86.3,2.9,0,F,New York
6848,0,0,5.6,0,,0,0,0,0,F,New York
6851,1,0,11.92,22,1.44,0,70.2,2.5,0,F,New York
6861,0,0,10.09,20,,0,0,0,0,F,New York
6862,0,0,10.46,19,,0,0,0,0,F,New York
6864,1,0,5.79,14,,0,0,0,0,F,New York
6891,1,0,8.35,0,,0,0,0,0,F,New York
6954,1,1,11.92,17,0.21,0,,,0,F,New York
6956,0,0,5.64,20,0,1,0,0,0,M,California
6993,0,0,11.36,56,,0,0,0,0,M,California
7001,1,0,6.57,21,,0,0,0,0,M,California
7003,0,0,5.33,13,,0,0,0,0,M,California
7014,1,0,8.1,75,,0,39.4,1.7,0,M,California
7027,1,0,10.39,21,,0,0,0,0,M,California
7041,0,0,9.19,20,,0,0,0,0,M,California
7057,1,1,11.92,20,0.46,0,105.7,7.9,0,M,California
7083,0,0,5.6,0,,0,0,0,0,M,California
7100,0,0,10.89,0,,0,0,0,0,F,Chicago
7115,1,1,11.92,65,0.15,0,22.5,1,0,F,Chicago
7150,0,0,5.29,0,,0,0,0,0,F,Chicago
7155,0,0,5.93,0,,0,0,0,0,M,Chicago
7166,0,0,7.71,14,,0,2,0.5,0,M,Chicago
7174,0,0,11.92,12,,0,2.9,0.1,2,M,Chicago
7203,0,0,5.6,0,,0,0,0,0,M,Chicago
7245,1,0,6.56,0,,0,0,0,0,M,Chicago
7302,0,0,5.28,43,,0,0,0,0,M,Chicago
7352,1,1,12.3,0,,0,0,0,0,M,Chicago
7358,1,0,11.92,21,0.49,0,33.5,11.2,0,M,Chicago
7369,0,0,6.7,23,0.53,4,0,0,0,M,Chicago
7384,1,1,11.92,10,1.27,0,,,0,M,Chicago
7392,0,0,11.92,25,0.21,1,22,0.8,0,M,Chicago
7428,1,1,11.92,19,1.78,2,62.7,5.7,0,M,Chicago
7452,1,0,8.96,20,,0,0,0,0,M,Chicago
7465,1,1,5.22,13,,0,0,0,0,M,Chicago
7495,0,0,5.34,13,,0,0,0,0,M,Chicago
7502,1,1,10.95,0,,0,0,0,0,M,Chicago
7537,0,0,5.62,10,,0,0,0,0,M,Chicago
7560,1,0,11.91,22,1.28,0,35.8,2.1,0,F,Chicago
7568,0,0,8.09,12,,0,1.5,0.2,0,F,Chicago
7592,0,0,5.84,15,0,2,0,0,0,F,Chicago
7607,0,0,11.91,24,,0,120.3,10,0,F,Chicago
7650,1,0,6.71,23,,2,0,0,0,F,Chicago
7674,0,0,7.62,23,,0,1.5,0.2,0,F,Chicago
7690,0,0,8.44,19,0,0,1.7,0.3,0,F,Chicago
7695,1,0,11.91,20,1.3,1,34.2,5.1,0,F,Chicago
7696,0,0,5.6,0,,0,0,0,0,F,Chicago
7714,1,1,11.91,10,1.13,0,7.5,1.1,0,F,Chicago
7778,0,0,5.44,13,,0,0,0,0,F,Chicago
7813,0,0,7.23,23,,0,4.2,0.3,0,F,Chicago
7829,0,0,6.88,24,,1,0,0,0,F,Chicago
7830,1,0,10.75,6,0,0,23.4,1.9,0,F,Chicago
7877,0,0,5.47,21,,0,0,0,0,F,Chicago
7884,0,0,5.5,0,,0,0,0,0,F,Chicago
7916,0,0,7.62,23,,0,0.5,0,0,F,Chicago
7953,1,0,9.46,25,0,0,34,2.3,0,F,Chicago
7967,1,0,11.05,30,0,0,115.1,7,0,F,Chicago
7992,1,0,5.44,21,,0,0,0,0,F,Chicago
7994,1,1,11.8,22,1.17,0,51.4,6.5,0,F,Chicago
8006,1,1,11.8,25,1.68,0,51.6,5.1,0,F,New York
8011,1,1,11.8,57,,0,156,12.8,0,F,New York
8034,0,0,7.1,12,,0,15,0.8,0,F,New York
8036,1,0,7.15,0,,0,0.3,0,0,F,New York
8037,1,0,7.16,0,,0,0,0,0,F,New York
8058,1,1,11.79,20,0.54,0,56.4,5.4,0,F,New York
8109,1,0,10.69,40,0.49,1,611.9,54.7,0,F,New York
8134,1,0,8.34,18,,0,11.2,0.6,0,F,New York
8195,1,0,7.71,0,,0,1.8,0.2,5,M,New York
8230,1,1,11.76,25,0.1,0,10.6,0.8,0,M,Chicago
8255,1,0,9.85,34,0,0,43.8,7.1,0,M,Chicago
8332,1,0,10.81,33,,0,7.7,1.2,0,M,Chicago
8338,0,0,6.67,13,,0,0,0,0,M,Chicago
8346,1,0,11.74,3,,0,4.3,0.3,1,M,Chicago
8373,1,1,5.7,0,,0,0,0,6,F,California
8404,1,0,10.9,22,0,0,44.3,5.2,0,F,California
8435,1,0,9.19,24,,0,12.6,0.6,0,F,California
8444,0,0,5.81,13,,0,0,0,0,F,Chicago
8451,0,0,8.21,0,,0,11.6,0.6,6,F,Chicago
8461,0,0,5.34,12,,0,0,0,0,F,Chicago
8468,0,0,5.21,15,,0,0,0,3,F,Chicago
8483,1,1,5.81,0,,0,0,0,6,F,Chicago
8492,1,1,11.72,26,1.43,0,53.1,7.6,0,F,Chicago
8510,1,1,11.72,21,0.1,1,22.4,3,0,F,Chicago
8582,0,0,5.4,0,,0,0,0,0,F,Chicago
8589,1,0,5.91,14,,2,0,0,0,F,Chicago
8596,1,1,5.39,13,,0,0,0,0,F,Chicago
8607,0,0,8.56,40,,0,38.6,3,0,F,Chicago
8614,1,1,10.1,26,,1,43.3,1.9,0,M,Chicago
8668,0,0,8.46,20,0,0,5.1,0.4,0,M,Chicago
8673,0,0,5.87,0,1.15,3,0,0,6,F,California
8688,0,0,5.98,0,,1,0,0,6,F,Chicago
8691,1,0,11.7,20,1.61,0,13.1,0.6,0,F,Chicago
8697,1,1,11.7,19,1.93,0,38.4,3.1,0,F,Chicago
8704,0,0,9.33,16,,0,7.4,0.9,1,F,Chicago
8713,0,0,4.84,12,,0,0,0,0,F,Chicago
8752,1,0,11.69,21,0.27,0,166,11,0,F,Chicago
8763,1,0,5.72,23,,6,0,0,0,F,Chicago
8767,0,0,7.37,0,,0,0,0,0,F,Chicago
8770,0,0,5.32,17,0,0,0,0,0,F,Chicago
8779,1,0,11.68,25,0.33,0,36.3,2,0,F,Chicago
8835,1,0,11.86,17,,0,17.3,1.3,0,F,Chicago
8922,1,0,8.88,25,,3,5.3,0.7,0,F,Chicago
8929,1,0,8.91,24,0,0,2.4,0.1,0,F,Chicago
8942,1,1,11.66,22,0.83,3,15.4,1.8,0,M,New York
8958,1,1,11.65,21,0.43,0,22.3,1.6,0,M,New York
8975,1,1,11.65,10,1.16,0,50.2,6.3,0,M,New York
8983,0,0,5.25,14,,0,0,0,0,M,New York
8993,0,0,8.72,17,,0,0,0,0,F,Washington DC
9003,1,1,11.64,15,1.13,0,108.3,5.6,0,F,Washington DC
9013,1,0,11.64,12,1.02,2,34.6,1.7,0,F,Washington DC
9017,0,0,11.64,24,,0,6.2,0.4,0,F,Washington DC
9018,1,1,7.94,24,,0,25.1,1.8,0,F,Washington DC
9061,1,0,11.62,79,1.86,2,70.2,9,0,F,Washington DC
9069,1,0,7.6,14,,0,4.2,0.5,0,M,Chicago
9080,1,0,11.62,20,0.76,0,13.6,0.9,0,M,Chicago
9112,1,1,5.92,12,,0,0,0,0,M,Chicago
9115,1,0,11.61,21,0.09,1,21.8,2.8,0,M,Chicago
9145,0,0,6.99,15,,0,6,0.6,0,M,Chicago
9157,1,1,11.6,21,0.44,0,44.3,3.1,0,M,Chicago
9161,1,1,12.33,10,0.5,1,14.8,3.4,0,M,Chicago
9167,1,1,11.6,15,1.64,0,15,1.3,0,M,Chicago
9185,0,0,5.61,0,0,0,0,0,0,M,Chicago
9192,1,0,5.76,13,,0,0,0,0,M,Chicago
9210,0,0,5.18,24,,0,0,0,0,M,Chicago
9211,1,0,11.59,20,1,0,69.6,4.1,0,M,Chicago
9225,1,1,6.74,0,,0,0,0,0,M,Chicago
9232,1,1,11.59,10,1.17,0,16.2,0.9,0,M,Chicago
9260,0,0,10,24,,0,47.9,2.4,0,M,Chicago
9269,1,1,6.3,0,,0,0,0,0,M,Chicago
9291,1,0,9.46,19,0,0,2.2,0.2,0,M,Chicago
9388,1,0,6.57,13,,0,0,0,0,M,Chicago
9393,0,0,5.24,0,,0,0,0,0,M,Chicago
9493,1,0,4.9,0,0.7,0,0,0,2,M,Chicago
9564,1,1,5.86,19,,4,0,0,0,M,Chicago
9572,1,1,11.49,10,1.22,0,16.2,2.8,0,M,Chicago
9591,1,0,7.66,17,,0,6.2,0.5,0,M,Chicago
9601,1,1,11.47,21,0.05,1,15.4,1.3,0,M,Chicago
9607,1,0,7.78,0,0,0,22.3,1.6,0,M,Chicago
9706,0,0,8.02,22,0,1,8.7,0.5,0,M,Chicago
9752,0,0,8.06,20,,3,2.1,0.2,0,M,Chicago
9759,0,0,4.67,13,,1,0,0,0,M,Chicago
9771,1,0,6.56,13,,0,0,0,0,M,Chicago
9777,1,1,9.79,22,,0,24.1,0.7,0,M,Chicago
9791,1,0,6.1,45,0,2,0,0,1,M,New York
9811,1,1,11.39,15,1.28,0,235.6,9.8,0,F,Washington DC
9821,0,0,6.06,22,0.65,1,0,0,0,F,Washington DC
9914,0,0,4.87,0,,0,0,0,7,F,Washington DC
9928,1,1,8.84,23,,0,44.9,2.4,0,F,Washington DC
9939,1,0,11.33,21,0.11,1,9.9,0.8,0,F,Washington DC
9948,1,0,11.33,24,,0,30.2,4.7,0,F,Washington DC
9963,0,0,6.6,1,,0,0,0,0,M,Chicago
9980,0,0,5.82,0,,0,0,0,0,M,Chicago
9984,0,0,4.5,13,,0,0,0,0,M,Chicago
9991,1,1,11.3,21,0.21,0,51.8,4.3,0,M,Chicago
10046,1,1,11.27,10,1.1,0,4.8,0.3,0,M,Chicago
10091,1,1,11.24,56,0.13,1,118.9,9.5,0,M,Chicago
10112,1,1,10.72,11,0,0,47.5,8.9,0,M,Chicago
10122,1,0,6.08,13,,1,0,0,0,M,Chicago
10157,0,0,5.61,13,,0,0,0,0,M,Chicago
10160,0,0,7.36,16,,0,16.4,1.5,0,M,Chicago
